D-loss	G-loss	AUC	AP
1.325202	0.695927	0.526556	0.044278
1.398944	0.694092	0.643361	0.057086
1.381120	0.695612	0.720687	0.072046
1.319119	0.694243	0.593835	0.049004
1.315326	0.695784	0.628078	0.053831
1.352385	0.694146	0.398781	0.032998
1.375729	0.694455	0.545922	0.043416
1.384524	0.695147	0.421431	0.034276
1.341198	0.695080	0.692096	0.066269
1.375249	0.694230	0.740378	0.080569
1.334775	0.693957	0.597685	0.048990
1.300890	0.694957	0.624505	0.053254
1.335906	0.693902	0.747733	0.082570
1.380249	0.694725	0.408396	0.035379
1.302830	0.697833	0.796361	0.103612
1.353996	0.695881	0.235613	0.025716
1.330870	0.700684	0.808237	0.116575
1.415368	0.702207	0.826392	0.127080
1.288247	0.694000	0.811080	0.115589
1.298309	0.695551	0.845949	0.175822
1.329736	0.694795	0.805953	0.119329
1.277615	0.695530	0.820164	0.150642
1.326981	0.693985	0.405957	0.033548
1.322787	0.695680	0.819459	0.166646
1.396899	0.698565	0.250719	0.026350
1.291082	0.704510	0.826761	0.194170
1.392982	0.703908	0.851402	0.199227
1.289237	0.697317	0.785190	0.123508
1.293164	0.697082	0.862860	0.221734
1.381185	0.697541	0.333769	0.029516
1.305221	0.704435	0.867633	0.233380
1.408570	0.702975	0.632230	0.055000
1.294725	0.701260	0.819100	0.199329
1.347581	0.694139	0.775016	0.180082
1.360514	0.694961	0.703848	0.123627
1.366439	0.694399	0.824145	0.202439
1.369630	0.694407	0.810691	0.194588
1.329947	0.695540	0.859548	0.224337
1.359119	0.694081	0.700331	0.085516
1.346280	0.695174	0.850389	0.209463
1.397102	0.697172	0.231626	0.025785
1.346269	0.711115	0.804817	0.196256
1.495724	0.732987	0.468729	0.036787
1.283871	0.704010	0.829987	0.194669
1.395687	0.695958	0.824508	0.190114
1.350085	0.694796	0.781002	0.151117
1.298065	0.697919	0.801818	0.184217
1.389890	0.701478	0.764739	0.109266
1.246041	0.701331	0.726678	0.079594
1.293203	0.695458	0.715126	0.075179
1.378253	0.695202	0.513703	0.041438
1.334020	0.694345	0.555669	0.045436
1.319773	0.694511	0.768069	0.098739
1.341753	0.694684	0.781899	0.109021
1.325226	0.694342	0.703004	0.081279
1.304633	0.694516	0.496746	0.050434
1.351749	0.694495	0.711900	0.091569
1.389040	0.695765	0.470380	0.046017
1.317333	0.695844	0.516808	0.043020
1.376639	0.694124	0.225724	0.025503
1.337490	0.694327	0.302860	0.028911
1.372844	0.694861	0.412130	0.034603
1.329146	0.693933	0.765155	0.097574
1.325123	0.693857	0.466954	0.038571
1.279665	0.696174	0.793213	0.136557
1.346272	0.696407	0.569415	0.048284
1.309291	0.695672	0.766616	0.099597
1.352871	0.693779	0.741773	0.081685
1.325991	0.693838	0.483016	0.039632
1.326875	0.694619	0.715208	0.072922
1.388852	0.695697	0.152071	0.023532
1.328635	0.701939	0.678747	0.066376
1.376411	0.697651	0.141789	0.023660
1.338338	0.695002	0.148593	0.024144
1.361139	0.694222	0.706783	0.078152
1.391137	0.696125	0.695751	0.075390
1.339371	0.694191	0.724188	0.087016
1.294322	0.694112	0.760921	0.119416
1.334009	0.694235	0.110592	0.022960
1.332635	0.698126	0.653608	0.058993
1.385098	0.697345	0.102799	0.022663
1.322711	0.701938	0.754582	0.121722
1.409081	0.708928	0.098237	0.022551
1.282229	0.713942	0.735326	0.104781
1.349663	0.700137	0.541506	0.044701
1.291092	0.694967	0.194693	0.025258
1.283614	0.696677	0.617917	0.053279
1.363950	0.696762	0.091194	0.022618
1.292843	0.697332	0.592801	0.050151
1.350978	0.694893	0.084385	0.022490
1.328959	0.696084	0.547472	0.045681
1.366440	0.695568	0.080872	0.022396
1.311920	0.702398	0.661902	0.062090
1.433893	0.711362	0.072797	0.022315
1.290574	0.708906	0.652949	0.060141
1.361172	0.698331	0.049565	0.022023
1.273590	0.701407	0.518463	0.043281
1.336035	0.695080	0.042407	0.021941
1.327127	0.695697	0.227237	0.026352
1.327924	0.694372	0.457066	0.038512
1.348806	0.694221	0.465958	0.039555
1.323873	0.694312	0.219310	0.026139
1.312603	0.695106	0.409614	0.035589
1.364934	0.695257	0.098143	0.023154
1.330251	0.696617	0.397502	0.035487
1.385647	0.697053	0.106589	0.023358
1.321595	0.697762	0.698290	0.091723
1.367326	0.699602	0.071783	0.022183
1.287812	0.714222	0.604976	0.054383
1.375538	0.698410	0.100417	0.023313
1.318936	0.695220	0.047163	0.021900
1.353434	0.696618	0.618044	0.057883
1.434981	0.703316	0.345677	0.031887
1.287575	0.696284	0.335397	0.031005
1.298853	0.695990	0.599315	0.052009
1.341758	0.695699	0.150024	0.024629
